token,token_type,token_id
OR11H1,gene,126
FUT6,gene,127
MAL2,gene,128
LIMS4,gene,129
HSPH1,gene,130
RBMX,gene,131
DDX60,gene,132
MAGEA10,gene,133
OR52E2,gene,134
LBX1,gene,135
PROM1,gene,136
ING4,gene,137
GBP5,gene,138
ITPKB,gene,139
FAAH2,gene,140
DMRT1,gene,141
ACTR8,gene,142
PTPN12,gene,143
FMR1NB,gene,144
KRTAP9-1,gene,145
ENOSF1,gene,146
BCL2L12,gene,147
FOLR1,gene,148
MST1R,gene,149
EDEM2,gene,150
THBS3,gene,151
SIRT5,gene,152
POU2F2,gene,153
SUSD3,gene,154
DIRAS3,gene,155
IRAK1,gene,156
PLEKHM1,gene,157
RHBDF2,gene,158
LEKR1,gene,159
CASP8,gene,160
PCDHAC2,gene,161
NRF1,gene,162
PSTPIP2,gene,163
NDST2,gene,164
FAM187B,gene,165
UBA5,gene,166
TRIM77,gene,167
CPLX2,gene,168
NCBP1,gene,169
GOLGA8B,gene,170
TPRA1,gene,171
CEBPD,gene,172
AMMECR1L,gene,173
RFFL,gene,174
C1QTNF7,gene,175
CACNG1,gene,176
WASHC2C,gene,177
PLPP7,gene,178
LSS,gene,179
OPTN,gene,180
NOD1,gene,181
TPRG1,gene,182
IL15,gene,183
PARP11,gene,184
OR2A7,gene,185
SLC7A10,gene,186
TTC34,gene,187
ZNF718,gene,188
FPR2,gene,189
SAMD3,gene,190
PTPA,gene,191
PHKB,gene,192
ARHGEF4,gene,193
ZNF670,gene,194
TP53BP2,gene,195
HDAC8,gene,196
EXOSC3,gene,197
COL6A6,gene,198
TSSC4,gene,199
RNMT,gene,200
GALNT7,gene,201
SFTPB,gene,202
TNFRSF8,gene,203
FABP2,gene,204
SLC25A14,gene,205
EMD,gene,206
HUWE1,gene,207
GPR183,gene,208
VPS9D1,gene,209
OXCT1,gene,210
NEMP2,gene,211
IFITM2,gene,212
HYAL2,gene,213
EVPL,gene,214
OR9Q2,gene,215
KRTAP9-8,gene,216
SLC13A3,gene,217
PIK3C2G,gene,218
POU5F1B,gene,219
C1QL4,gene,220
SIGLEC15,gene,221
CXCL9,gene,222
PPP1R15A,gene,223
PHF19,gene,224
PPP1R12C,gene,225
KCNQ1,gene,226
ZNF226,gene,227
ANGEL2,gene,228
SMYD3,gene,229
LYPD6B,gene,230
HOXD3,gene,231
LRIT3,gene,232
UNC5CL,gene,233
EMC2,gene,234
CAT,gene,235
HBG1,gene,236
ZFP14,gene,237
NAP1L2,gene,238
PLIN2,gene,239
FRK,gene,240
RAD50,gene,241
LDOC1,gene,242
MLST8,gene,243
GOLT1B,gene,244
OR56B1,gene,245
WASHC4,gene,246
E2F2,gene,247
SMNDC1,gene,248
HMGA1,gene,249
P3H2,gene,250
PSMC3IP,gene,251
TARS1,gene,252
ANKRD27,gene,253
NPY5R,gene,254
FAM90A17,gene,255
LDLRAD3,gene,256
ADAMTS15,gene,257
OSBPL11,gene,258
OR10G8,gene,259
PLVAP,gene,260
CALHM5,gene,261
EHD2,gene,262
SOX14,gene,263
ETV3,gene,264
GUF1,gene,265
BRPF1,gene,266
TM7SF2,gene,267
PANK4,gene,268
LY6G5C,gene,269
MS4A15,gene,270
MAP1S,gene,271
PHYHIPL,gene,272
CD47,gene,273
MFSD12,gene,274
FADS6,gene,275
S100B,gene,276
CRABP1,gene,277
KPRP,gene,278
PARP12,gene,279
SUPT5H,gene,280
NDUFB11,gene,281
MT-CO1,gene,282
NFIC,gene,283
IL17RE,gene,284
GABRG3,gene,285
OR5D14,gene,286
NAXE,gene,287
TCEAL7,gene,288
NCK2,gene,289
FREM2,gene,290
MTNR1A,gene,291
SLC30A8,gene,292
QPCTL,gene,293
ZNF263,gene,294
CEP170B,gene,295
OR6J1,gene,296
GLB1L3,gene,297
MRPS11,gene,298
TENT5C,gene,299
FA2H,gene,300
PRY,gene,301
LRRC51,gene,302
FOXL1,gene,303
TNFAIP6,gene,304
FANCI,gene,305
CR2,gene,306
GSTT2B,gene,307
SCYGR3,gene,308
GLIPR2,gene,309
IPO5,gene,310
EVA1B,gene,311
PHYHD1,gene,312
LDLRAD4,gene,313
TRAF4,gene,314
BTF3L4,gene,315
KCNH4,gene,316
CDK1,gene,317
ATP8A1,gene,318
MTMR12,gene,319
NGRN,gene,320
CCT6B,gene,321
SCARA3,gene,322
GPR141,gene,323
FAM32A,gene,324
ZSCAN9,gene,325
SLMAP,gene,326
ZNG1C,gene,327
G0S2,gene,328
ARHGAP5,gene,329
MEIOB,gene,330
TFG,gene,331
TCAF2C,gene,332
GLYATL3,gene,333
JUP,gene,334
CUL3,gene,335
SCGB2A1,gene,336
SUGP2,gene,337
KRTAP12-1,gene,338
GMNC,gene,339
CEL,gene,340
CDH8,gene,341
RP1L1,gene,342
SPRR2E,gene,343
ILVBL,gene,344
MAB21L1,gene,345
UTRN,gene,346
ZNF92,gene,347
USP2,gene,348
OR51S1,gene,349
VHL,gene,350
ATP8B1,gene,351
OR6C70,gene,352
CD320,gene,353
FBLN1,gene,354
LPAR5,gene,355
SMIM14,gene,356
KLRC2,gene,357
RIMBP3C,gene,358
SSNA1,gene,359
CNPPD1,gene,360
C11orf16,gene,361
ZSCAN4,gene,362
IFT25,gene,363
SMIM13,gene,364
NMNAT1,gene,365
KHDC1,gene,366
C11orf80,gene,367
WNK4,gene,368
VWA1,gene,369
BTRC,gene,370
ARL4D,gene,371
CPT1B,gene,372
RUNX1T1,gene,373
SLCO5A1,gene,374
ATF7-NPFF,gene,375
EEF1AKMT2,gene,376
ADAM11,gene,377
FAM228B,gene,378
KDM5C,gene,379
RNASEH2A,gene,380
TMEM275,gene,381
ABCC10,gene,382
NCAM2,gene,383
INSM2,gene,384
ITGB3,gene,385
FAM3A,gene,386
PITPNA,gene,387
TMEM127,gene,388
SNRPN,gene,389
PIK3R4,gene,390
TIFAB,gene,391
OPN3,gene,392
FAM124B,gene,393
FRAT2,gene,394
SGIP1,gene,395
CISD1,gene,396
KHNYN,gene,397
TNRC18,gene,398
UQCC1,gene,399
SYVN1,gene,400
ZNF175,gene,401
BIRC7,gene,402
CACNA1I,gene,403
MMP14,gene,404
ANTXR2,gene,405
NMRK1,gene,406
STAC3,gene,407
FAM180A,gene,408
GSK3B,gene,409
KCNS2,gene,410
SKA3,gene,411
FAM156B,gene,412
FNDC8,gene,413
MRPL4,gene,414
KLK15,gene,415
PPP2R5A,gene,416
RASSF2,gene,417
ZNF461,gene,418
OR2M2,gene,419
DYNC2I2,gene,420
NIPAL1,gene,421
SMN1,gene,422
MAPK1IP1L,gene,423
XPR1,gene,424
SLC17A8,gene,425
FOLR2,gene,426
CDC42EP2,gene,427
ALPK1,gene,428
AZIN2,gene,429
TTLL6,gene,430
OR2A42,gene,431
MVP,gene,432
ALDOC,gene,433
UVSSA,gene,434
FMN2,gene,435
CSNK1A1L,gene,436
MPP4,gene,437
OR52B4,gene,438
HINT1,gene,439
RASL10A,gene,440
AQP8,gene,441
OR6C68,gene,442
AKR1B1,gene,443
RPL39,gene,444
RNASEH1,gene,445
INSIG1,gene,446
NCEH1,gene,447
GATA2,gene,448
RFX3,gene,449
TBX4,gene,450
WWP2,gene,451
RNF168,gene,452
XRN1,gene,453
CACNA1H,gene,454
HSD3B1,gene,455
RASA4,gene,456
STK38L,gene,457
XIRP2,gene,458
AGBL1,gene,459
DDHD2,gene,460
C14orf132,gene,461
WDR26,gene,462
INSIG2,gene,463
TNFRSF10C,gene,464
SUCLG2,gene,465
STAT5B,gene,466
SMIM33,gene,467
SLC22A1,gene,468
DNLZ,gene,469
GADD45G,gene,470
OR9K2,gene,471
PYHIN1,gene,472
PLCG2,gene,473
SCIMP,gene,474
ZNF554,gene,475
FAF1,gene,476
HSFX4,gene,477
ZIC1,gene,478
SLC6A4,gene,479
CENPVL3,gene,480
LAG3,gene,481
BEST2,gene,482
TRIM39,gene,483
TXNDC9,gene,484
FAM240A,gene,485
NEDD8,gene,486
ERCC4,gene,487
TPSG1,gene,488
GAS2L2,gene,489
AGXT,gene,490
TRABD2B,gene,491
SNTN,gene,492
TMEM89,gene,493
TMSB15A,gene,494
LHX3,gene,495
MOAP1,gene,496
TMEM191C,gene,497
KIZ,gene,498
RHOG,gene,499
STAB1,gene,500
TTLL4,gene,501
PARD3B,gene,502
ZNF207,gene,503
LIN7B,gene,504
PRMT9,gene,505
FAM200C,gene,506
ZFTRAF1,gene,507
YJEFN3,gene,508
CDC34,gene,509
FBXO11,gene,510
DBNDD1,gene,511
LCA5,gene,512
H2BC4,gene,513
DERA,gene,514
SLC26A2,gene,515
STARD3,gene,516
ZNF443,gene,517
GPX7,gene,518
H2BC15,gene,519
GRM4,gene,520
RIN3,gene,521
CYTH1,gene,522
MAP3K8,gene,523
AQP2,gene,524
CDKN1A,gene,525
AKNAD1,gene,526
MED26,gene,527
IL17RA,gene,528
CDHR3,gene,529
USP46,gene,530
CGB7,gene,531
MUSK,gene,532
PNMA3,gene,533
TSKS,gene,534
CD248,gene,535
LMNTD2,gene,536
VSX1,gene,537
MCRS1,gene,538
ATP5MC2,gene,539
NF1,gene,540
FAM90A11P,gene,541
SEMG1,gene,542
ZNF433,gene,543
PPIAL4G,gene,544
LARGE1,gene,545
NUCKS1,gene,546
MDFIC2,gene,547
ADCY6,gene,548
SLITRK1,gene,549
IQCG,gene,550
TMEM179B,gene,551
ALDH6A1,gene,552
GCFC2,gene,553
OR51A2,gene,554
PEF1,gene,555
C9,gene,556
LTN1,gene,557
CACNB1,gene,558
CPS1,gene,559
HEPHL1,gene,560
DNAJB13,gene,561
ANAPC1,gene,562
PLEKHH2,gene,563
IGHV3OR16-17,gene,564
CAPN1,gene,565
RNF121,gene,566
IGLL5,gene,567
SPIN2B,gene,568
CFAP90,gene,569
GALNT13,gene,570
MED23,gene,571
BTBD2,gene,572
KLF13,gene,573
MAPK8IP1,gene,574
STK33,gene,575
FAM216B,gene,576
PEX7,gene,577
PLEKHG1,gene,578
MTMR9,gene,579
ECT2,gene,580
TMEM262,gene,581
SATB1,gene,582
PLEKHA8,gene,583
MBD6,gene,584
MED1,gene,585
SPMIP6,gene,586
F2R,gene,587
PINX1,gene,588
C1orf105,gene,589
PDLIM1,gene,590
FBF1,gene,591
SYPL2,gene,592
BPY2B,gene,593
AKR1C8,gene,594
SLC16A10,gene,595
WNT8A,gene,596
ACSBG1,gene,597
KRT24,gene,598
OR1C1,gene,599
CD3G,gene,600
ELL2,gene,601
ATG4B,gene,602
EFCC1,gene,603
ATP6V1C1,gene,604
HCLS1,gene,605
LGALS16,gene,606
HMGN2,gene,607
ZNF148,gene,608
SCIN,gene,609
NSMF,gene,610
LRRIQ3,gene,611
TENT2,gene,612
NCAPG2,gene,613
ARHGAP11A-SCG5,gene,614
SMYD2,gene,615
TACSTD2,gene,616
LMO4,gene,617
NFU1,gene,618
CYTH3,gene,619
ETV1,gene,620
FCMR,gene,621
HOXA10,gene,622
CIZ1,gene,623
INTS13,gene,624
SLC17A9,gene,625
MGST3,gene,626
ATXN3,gene,627
FHL3,gene,628
CNTNAP2,gene,629
CCDC82,gene,630
ZNF442,gene,631
CHRNA5,gene,632
BPNT1,gene,633
MRPL45,gene,634
VIL1,gene,635
RAB33B,gene,636
FGFR2,gene,637
FKBPL,gene,638
MTBP,gene,639
HHIPL1,gene,640
GADD45B,gene,641
ELP4,gene,642
GADD45A,gene,643
CSF2RB,gene,644
SLC35D2,gene,645
ARHGEF7,gene,646
RAP1A,gene,647
APPL2,gene,648
KRTAP24-1,gene,649
SULT1C2,gene,650
SLC7A2,gene,651
SPMAP2L,gene,652
CMC1,gene,653
CELSR1,gene,654
TMEM129,gene,655
KCNN4,gene,656
ABHD13,gene,657
CHUK,gene,658
CENPM,gene,659
BDNF,gene,660
GABPA,gene,661
DNAH6,gene,662
L3MBTL4,gene,663
ZNF600,gene,664
EED,gene,665
LRRFIP1,gene,666
KLHL28,gene,667
ETV2,gene,668
NDRG2,gene,669
UPF1,gene,670
RECQL4,gene,671
TSPAN32,gene,672
PIH1D1,gene,673
DMP1,gene,674
AP2M1,gene,675
KLHL40,gene,676
TBPL1,gene,677
GHR,gene,678
PDK3,gene,679
ANAPC16,gene,680
MGST1,gene,681
OR4D6,gene,682
ADPRM,gene,683
BCL11B,gene,684
YIPF1,gene,685
HSPA4L,gene,686
EPN1,gene,687
PON2,gene,688
SUPT4H1,gene,689
C1orf43,gene,690
TREH,gene,691
KLHL24,gene,692
HOMEZ,gene,693
GBP2,gene,694
TUBGCP6,gene,695
TMEM182,gene,696
TRMT2B,gene,697
ZFHX4,gene,698
SMYD4,gene,699
RHOXF2B,gene,700
POMK,gene,701
GABRB1,gene,702
GNG11,gene,703
MAGEA11,gene,704
SOBP,gene,705
EEA1,gene,706
LCE1C,gene,707
FAM8A1,gene,708
SCP2,gene,709
GSDMC,gene,710
PIAS1,gene,711
TSPY10,gene,712
KRTAP20-3,gene,713
CMTM6,gene,714
ADAR,gene,715
AZIN1,gene,716
IFNA7,gene,717
CLDN10,gene,718
LARP1,gene,719
NGDN,gene,720
FZR1,gene,721
NUFIP2,gene,722
GLB1,gene,723
RBKS,gene,724
NRP2,gene,725
PKD2,gene,726
UBE2O,gene,727
IL13RA1,gene,728
RFESD,gene,729
LHX4,gene,730
HOXD13,gene,731
MST1,gene,732
SPTA1,gene,733
OMD,gene,734
TENM4,gene,735
SLC25A13,gene,736
PRAMEF8,gene,737
RNF26,gene,738
MACROD2,gene,739
SLC14A1,gene,740
TM4SF18,gene,741
KRT79,gene,742
KRTAP10-3,gene,743
ZNF804B,gene,744
CTIF,gene,745
ADGRD1,gene,746
KRTAP3-2,gene,747
ELMOD3,gene,748
RHBDL2,gene,749
MLANA,gene,750
TOMM6,gene,751
EFNA4-EFNA3,gene,752
CT45A1,gene,753
UBR4,gene,754
WFDC10A,gene,755
BCL6B,gene,756
ADCY4,gene,757
RPEL1,gene,758
MYL10,gene,759
FGD5,gene,760
MAG,gene,761
SEC14L3,gene,762
HENMT1,gene,763
KCNE2,gene,764
CARS2,gene,765
CHST6,gene,766
MTCP1,gene,767
TLR3,gene,768
WASF3,gene,769
COL19A1,gene,770
ARHGAP26,gene,771
ZNF878,gene,772
ZNF530,gene,773
CEP15,gene,774
ANKRD61,gene,775
NCALD,gene,776
A1CF,gene,777
BVES,gene,778
GJA1,gene,779
ANKRD16,gene,780
LRRC10B,gene,781
EHD1,gene,782
OR4K5,gene,783
CRNN,gene,784
MYLK2,gene,785
HIC2,gene,786
CCHCR1,gene,787
BSPRY,gene,788
YME1L1,gene,789
FOSB,gene,790
SPOCD1,gene,791
FBXL22,gene,792
NEUROG1,gene,793
CLDN6,gene,794
LYPD8,gene,795
CAPN14,gene,796
TRMT6,gene,797
BMF,gene,798
OR6A2,gene,799
NPW,gene,800
NKX6-1,gene,801
ECHDC2,gene,802
M6PR,gene,803
ALDH3A2,gene,804
ZMAT3,gene,805
BBS5,gene,806
HIBCH,gene,807
RAB25,gene,808
KBTBD7,gene,809
FFAR2,gene,810
SERTM2,gene,811
PTCD3,gene,812
ORM1,gene,813
RAB40B,gene,814
IQCF3,gene,815
CEP44,gene,816
MAGEA9,gene,817
COMT,gene,818
ZNF804A,gene,819
HYAL1,gene,820
LZTFL1,gene,821
RASA1,gene,822
FBXW10,gene,823
TYR,gene,824
RAE1,gene,825
CCDC97,gene,826
P2RY10,gene,827
CARMIL2,gene,828
URB2,gene,829
ARMC9,gene,830
NUB1,gene,831
SCRN3,gene,832
PLA2G2F,gene,833
C3orf33,gene,834
MTHFS,gene,835
IDO1,gene,836
SERPINB11,gene,837
KANK2,gene,838
DHCR24,gene,839
TAF9,gene,840
LSR,gene,841
RELB,gene,842
CASP10,gene,843
PRR5,gene,844
HSPB2,gene,845
HYOU1,gene,846
WNT3,gene,847
CMBL,gene,848
SLC39A5,gene,849
DECR1,gene,850
SLC35F3,gene,851
DNAJC22,gene,852
SOCS7,gene,853
GAGE12C,gene,854
TNRC6B,gene,855
THEM4,gene,856
SPMIP9,gene,857
NPM3,gene,858
FAM117A,gene,859
CDX4,gene,860
PRR12,gene,861
PHLDA2,gene,862
SLC25A44,gene,863
POLR2G,gene,864
SLC25A30,gene,865
DTNA,gene,866
HMGN4,gene,867
TMSB4X,gene,868
SMPD1,gene,869
HMX3,gene,870
RBM47,gene,871
MSX1,gene,872
CGGBP1,gene,873
ETS1,gene,874
KTN1,gene,875
DDX1,gene,876
ACAD9,gene,877
KIR3DL2,gene,878
SLCO6A1,gene,879
COPB1,gene,880
ABLIM1,gene,881
DARS1,gene,882
CT45A6,gene,883
FEM1B,gene,884
TNFSF18,gene,885
PELI3,gene,886
ACSM3,gene,887
HK1,gene,888
OR5K1,gene,889
SCAMP2,gene,890
DIP2A,gene,891
EVC2,gene,892
PROCA1,gene,893
AKAP12,gene,894
SPDYE18,gene,895
MAEL,gene,896
VCX3B,gene,897
NR1H3,gene,898
OR4F4,gene,899
SERPINB4,gene,900
PNMA8A,gene,901
EMC10,gene,902
SOX30,gene,903
RNPS1,gene,904
IL10RB,gene,905
LGALSL,gene,906
HMCN1,gene,907
SNX21,gene,908
COX15,gene,909
LSM7,gene,910
FRY,gene,911
SAR1B,gene,912
SHROOM1,gene,913
TAMM41,gene,914
TGFBI,gene,915
SYT3,gene,916
MT1M,gene,917
UBR7,gene,918
EFNA5,gene,919
BTN1A1,gene,920
QNG1,gene,921
PRSS58,gene,922
ZNF703,gene,923
SYT15,gene,924
NPPA,gene,925
CYFIP2,gene,926
DUSP2,gene,927
ZNF444,gene,928
EXOSC6,gene,929
TTC12,gene,930
RAC2,gene,931
ADGRL2,gene,932
EI24,gene,933
TCEAL1,gene,934
OPRD1,gene,935
SDHB,gene,936
CFAP74,gene,937
LRR1,gene,938
FCER1G,gene,939
STIP1,gene,940
UBXN6,gene,941
GPR142,gene,942
PCK2,gene,943
PRR19,gene,944
PRAMEF18,gene,945
MAP4,gene,946
CCDC127,gene,947
TACO1,gene,948
ATP1B3,gene,949
IQCF5,gene,950
ZNF23,gene,951
C1QTNF8,gene,952
SLC9A8,gene,953
SLC12A4,gene,954
DIMT1,gene,955
PKD2L2,gene,956
CENPQ,gene,957
ZBTB45,gene,958
RRP1,gene,959
ULK1,gene,960
PCSK6,gene,961
HBQ1,gene,962
SAMD7,gene,963
KDM2A,gene,964
OR6K6,gene,965
FIGLA,gene,966
GMEB1,gene,967
HSF5,gene,968
SRP72,gene,969
HAPSTR1,gene,970
MICB,gene,971
ACBD3,gene,972
ATXN1L,gene,973
STPG1,gene,974
TFB2M,gene,975
CYB5RL,gene,976
CCS,gene,977
BHLHE22,gene,978
FAM241A,gene,979
CRIM1,gene,980
PHACTR3,gene,981
HSD17B3,gene,982
C7orf57,gene,983
FAM200B,gene,984
ARHGEF33,gene,985
CEP95,gene,986
OSM,gene,987
STOML1,gene,988
DNAJB1,gene,989
HCFC2,gene,990
DHPS,gene,991
VTI1A,gene,992
CALCOCO1,gene,993
ZNF749,gene,994
ARK2C,gene,995
RSC1A1,gene,996
CLIC5,gene,997
ZSWIM7,gene,998
BCAN,gene,999
FERMT3,gene,1000
F5,gene,1001
ACTG2,gene,1002
SGCE,gene,1003
MPP2,gene,1004
APEX2,gene,1005
PTBP1,gene,1006
VHLL,gene,1007
HAS3,gene,1008
KLHL20,gene,1009
RNF151,gene,1010
ZMIZ1,gene,1011
GOLGA6A,gene,1012
SHISAL2A,gene,1013
ZNF276,gene,1014
SGSH,gene,1015
IRAK1BP1,gene,1016
ITIH2,gene,1017
NME4,gene,1018
PHF1,gene,1019
DNAJC21,gene,1020
HABP2,gene,1021
GALNT8,gene,1022
CDT1,gene,1023
ADRA1D,gene,1024
PFKM,gene,1025
JAK2,gene,1026
SYNE2,gene,1027
WFIKKN1,gene,1028
QTRT1,gene,1029
CNBP,gene,1030
MOSPD2,gene,1031
ACP7,gene,1032
MSANTD2,gene,1033
CLEC17A,gene,1034
CD2,gene,1035
LGI3,gene,1036
ZFP41,gene,1037
RBBP9,gene,1038
LAMC3,gene,1039
PSMD10,gene,1040
GUCY2C,gene,1041
PRELID2,gene,1042
LDHC,gene,1043
CENPA,gene,1044
NUP85,gene,1045
FEZ1,gene,1046
PROKR2,gene,1047
JAK1,gene,1048
HTR1B,gene,1049
IL15RA,gene,1050
FPGS,gene,1051
CRYGC,gene,1052
RNF207,gene,1053
MAPK9,gene,1054
TMPO,gene,1055
TARM1,gene,1056
RNF123,gene,1057
KHSRP,gene,1058
USP17L17,gene,1059
UGT3A2,gene,1060
TYW1,gene,1061
CAMTA1,gene,1062
GCNA,gene,1063
KLHL15,gene,1064
CSKMT,gene,1065
USP8,gene,1066
C1QB,gene,1067
KRT10,gene,1068
C11orf24,gene,1069
MYOCOS,gene,1070
C11orf58,gene,1071
PCYT1A,gene,1072
UBE4A,gene,1073
MYO1E,gene,1074
PRICKLE2,gene,1075
KDM3B,gene,1076
PLAUR,gene,1077
MSH4,gene,1078
UPK2,gene,1079
FGG,gene,1080
POTEE,gene,1081
CCDC13,gene,1082
PWP1,gene,1083
RBMY1A1,gene,1084
GNMT,gene,1085
XDH,gene,1086
RASGRF2,gene,1087
SAP30,gene,1088
PTGR3,gene,1089
KIFAP3,gene,1090
FTO,gene,1091
LAPTM4B,gene,1092
MZF1,gene,1093
RORA,gene,1094
SLA2,gene,1095
PRAMEF19,gene,1096
AP3S1,gene,1097
SLC18A3,gene,1098
SCGB3A1,gene,1099
SLC6A6,gene,1100
RABGGTA,gene,1101
CDK12,gene,1102
REC8,gene,1103
PDIA6,gene,1104
DEFB107A,gene,1105
ZNF584,gene,1106
HLA-DPA1,gene,1107
BAZ2A,gene,1108
GRWD1,gene,1109
ZNF684,gene,1110
PKDCC,gene,1111
CDKN2A,gene,1112
LY75-CD302,gene,1113
LRRC34,gene,1114
POLR2J2,gene,1115
NCKAP5L,gene,1116
C15orf61,gene,1117
TNRC6C,gene,1118
FADD,gene,1119
COLGALT1,gene,1120
COQ8B,gene,1121
TSPY9,gene,1122
RGPD8,gene,1123
LRATD1,gene,1124
DAB1,gene,1125
ARPIN,gene,1126
GGT1,gene,1127
TRIM58,gene,1128
FAM234A,gene,1129
TNFSF12-TNFSF13,gene,1130
PDYN,gene,1131
CSDE1,gene,1132
ITGA10,gene,1133
ZDHHC7,gene,1134
SPPL2B,gene,1135
TRPA1,gene,1136
DENND4A,gene,1137
BEX5,gene,1138
EPHX4,gene,1139
PRDM1,gene,1140
SPATA32,gene,1141
RNF157,gene,1142
PAM16,gene,1143
PABPC4,gene,1144
FAM90A15P,gene,1145
ZNF483,gene,1146
KCP,gene,1147
IRF6,gene,1148
S100A16,gene,1149
SMOX,gene,1150
FAM167B,gene,1151
HSFY1,gene,1152
ZNF716,gene,1153
ARHGAP11B,gene,1154
GID8,gene,1155
NFYA,gene,1156
TEX13A,gene,1157
WDR88,gene,1158
MINK1,gene,1159
CTSZ,gene,1160
ZNF730,gene,1161
OR56A5,gene,1162
EGR3,gene,1163
ANKRA2,gene,1164
CFAP100,gene,1165
CPEB3,gene,1166
HTR3B,gene,1167
GPR157,gene,1168
TENM3,gene,1169
CIITA,gene,1170
NXPE1,gene,1171
TRIP12,gene,1172
CYP2F1,gene,1173
LCT,gene,1174
ZNF345,gene,1175
MINAR2,gene,1176
CARF,gene,1177
ZP4,gene,1178
LRP12,gene,1179
CST9,gene,1180
UMODL1,gene,1181
CUL2,gene,1182
SPAM1,gene,1183
CAV3,gene,1184
HS3ST1,gene,1185
HPGD,gene,1186
FOXK1,gene,1187
NTRK2,gene,1188
CIB1,gene,1189
CD84,gene,1190
C8orf76,gene,1191
CD72,gene,1192
CCDC88C,gene,1193
SCUBE1,gene,1194
MEIOC,gene,1195
FAT2,gene,1196
CDC25C,gene,1197
ALG14,gene,1198
BMPER,gene,1199
LDB1,gene,1200
JADE3,gene,1201
AIRE,gene,1202
CHRNB3,gene,1203
MAGEA9B,gene,1204
NRROS,gene,1205
TUBG1,gene,1206
ENOX2,gene,1207
DNTT,gene,1208
PERP,gene,1209
PID1,gene,1210
KLF18,gene,1211
NTRK3,gene,1212
TRNAU1AP,gene,1213
CBFA2T3,gene,1214
AGO4,gene,1215
TGFBR3,gene,1216
NEK11,gene,1217
LTK,gene,1218
MRPS24,gene,1219
SLCO1B3,gene,1220
CACYBP,gene,1221
LSM14A,gene,1222
ATP13A1,gene,1223
BCL3,gene,1224
SIGLEC10,gene,1225
SCYL2,gene,1226
KIAA1522,gene,1227
PDGFD,gene,1228
TMEM266,gene,1229
DOT1L,gene,1230
CTRL,gene,1231
LRIF1,gene,1232
PLPP6,gene,1233
BTN3A2,gene,1234
NPAS4,gene,1235
BAG3,gene,1236
NHP2,gene,1237
HCRTR2,gene,1238
RAG2,gene,1239
TBC1D10B,gene,1240
ZCWPW1,gene,1241
SEMA4D,gene,1242
ZNF460,gene,1243
CT47B1,gene,1244
MANEA,gene,1245
HLA-C,gene,1246
PUS10,gene,1247
